10;1
20;1
30;2
40;3
50;2
60;2
70;2
80;2
90;1
100;2
110;2
120;2
130;1
140;3
150;1
160;2
170;2
180;2
190;1
200;2
210;1
220;2
230;4
240;1
250;1
260;2
270;2
280;2
290;2
300;2
310;2
320;1
330;2
340;1
350;2
360;2
370;5
380;4
390;5
400;5
410;5
420;5
430;4
440;4
450;5
460;3
470;6
480;4
490;3
500;2
510;3
520;2
530;4
540;1
550;2
560;3
570;3
580;2
590;2
600;3
610;3
620;2
630;2
640;2
650;2
660;2
670;2
680;1
690;2
700;1
710;3
720;2
730;1
740;3
750;2
760;2
770;1
780;3
790;2
800;2
810;2
820;1
830;2
840;2
850;2
860;2
870;1
880;2
890;1
900;3
910;1
920;2
930;3
940;1
950;1
960;2
970;4
980;4
990;4
1000;4
1010;6
1020;5
1030;3
1040;3
1050;5
1060;5
1070;6
1080;5
1090;3
1100;3
1110;3
1120;3
1130;2
1140;3
1150;2
1160;1
1170;2
1180;2
1190;1
1200;2
1210;2
1220;2
1230;2
1240;2
1250;2
1260;2
1270;1
1280;2
1290;2
1300;2
1310;2
1320;3
1330;1
1340;2
1350;2
1360;1
1370;2
1380;1
1390;2
1400;2
1410;1
1420;3
1430;2
