10;2
20;2
30;2
40;1
50;2
60;1
70;3
80;3
90;1
100;3
110;1
120;3
130;2
140;2
150;2
160;2
170;2
180;2
190;2
200;1
210;2
220;2
230;2
240;3
250;1
260;4
270;2
280;1
290;4
300;1
310;4
320;3
330;3
340;3
350;3
360;2
370;1
380;5
390;4
400;3
410;5
420;4
430;3
440;6
450;5
460;5
470;3
480;4
490;2
500;2
510;2
520;3
530;1
540;2
550;3
560;1
570;2
580;2
590;3
600;2
610;2
620;1
630;3
640;2
650;1
660;2
670;3
680;2
690;2
700;2
710;2
720;2
730;2
740;2
750;2
760;1
770;2
780;3
790;2
800;2
810;1
820;3
830;2
840;3
850;2
860;2
870;2
880;2
890;1
900;2
910;3
920;2
930;3
940;2
950;2
960;2
970;3
980;4
990;4
1000;5
1010;5
1020;3
1030;5
1040;4
1050;6
1060;4
1070;6
1080;4
1090;3
1100;2
1110;2
1120;4
1130;4
1140;1
1150;2
1160;2
1170;2
1180;2
1190;1
1200;3
1210;2
1220;2
1230;2
1240;3
1250;3
1260;2
1270;3
1280;1
1290;3
1300;1
1310;3
1320;2
1330;2
1340;2
1350;2
1360;2
1370;0
1380;3
1390;2
1400;2
1410;1
1420;2
1430;1
